fw,step,temp,richness,stability,biomass
1.0,1.0,292.65,20.0,2.666409432885947e-5,0.5317115273437455
1.0,2.0,293.65,19.0,1.0435056605634535e-8,2.764871864498187
1.0,3.0,292.65,18.0,1.2076411995329438e-8,2.6851367547807037
1.0,4.0,293.65,18.0,1.6466638330159293e-6,2.6016787742977683
1.0,5.0,292.65,17.0,6.4917380718336154e-9,2.5253481406997422
1.0,6.0,293.65,16.0,0.0006824953591974137,2.499973277437565
1.0,7.0,292.65,16.0,7.726270782787623e-9,2.293117322346208
1.0,8.0,293.65,16.0,1.4490734754751813e-8,2.374697195068598
1.0,9.0,292.65,16.0,6.383892796118008e-9,2.293035524835934
1.0,10.0,293.65,16.0,1.4534111723341965e-8,2.374697176914702
1.0,11.0,292.65,16.0,6.322434500427065e-9,2.2930355016901247
1.0,12.0,293.65,16.0,1.4567968556563929e-8,2.3746971679648383
1.0,13.0,292.65,16.0,6.2927829554959625e-9,2.29303548905186
1.0,14.0,293.65,16.0,1.4592719937169982e-8,2.374697162916796
1.0,15.0,292.65,16.0,6.276501955197628e-9,2.2930354814030074
1.0,16.0,293.65,16.0,1.4610329332912566e-8,2.3746971597661157
1.0,17.0,292.65,16.0,6.266770305185226e-9,2.2930354764176886
1.0,18.0,293.65,16.0,1.4623605763738196e-8,2.374697157707423
1.0,19.0,292.65,16.0,6.260457324091569e-9,2.293035472998955
1.0,20.0,293.65,16.0,1.4633534257879718e-8,2.374697156267825
2.0,1.0,292.65,29.0,2.7104913343605472e-5,2.3779313095238095
2.0,2.0,293.65,28.0,0.00010606187537665425,6.056411342206161
2.0,3.0,292.65,28.0,0.00013611068239426793,5.932919531847607
2.0,4.0,293.65,27.0,0.00010765669437585189,5.961582077305008
2.0,5.0,292.65,27.0,0.00013758999235101316,5.730486276927039
2.0,6.0,293.65,27.0,0.00011907668990132836,5.76708867042988
2.0,7.0,292.65,27.0,0.0001395862277789906,5.730455594128231
2.0,8.0,293.65,27.0,0.000119034321695341,5.767088973192886
2.0,9.0,292.65,27.0,0.00013958612262571443,5.730455591148354
2.0,10.0,293.65,27.0,0.00011903434160141573,5.767088973310663
2.0,11.0,292.65,27.0,0.00013958610715530676,5.730455591147448
2.0,12.0,293.65,27.0,0.00011903434166041979,5.767088973310743
2.0,13.0,292.65,27.0,0.00013958610715109773,5.730455591147446
2.0,14.0,293.65,27.0,0.00011903434166096814,5.767088973310744
2.0,15.0,292.65,27.0,0.00013958610715137192,5.730455591147446
2.0,16.0,293.65,27.0,0.00011903434166242155,5.767088973310744
2.0,17.0,292.65,27.0,0.00013958610715383382,5.730455591147446
2.0,18.0,293.65,27.0,0.00011903434166060649,5.767088973310743
2.0,19.0,292.65,27.0,0.00013958610715230133,5.730455591147446
2.0,20.0,293.65,27.0,0.00011903434166139068,5.767088973310744
3.0,1.0,292.65,18.0,0.0001135551076231183,0.5227567101118371
3.0,2.0,293.65,18.0,1.8140530374254238e-9,1.9791461981279102
3.0,3.0,292.65,18.0,5.669835611752737e-10,1.9403248844094572
3.0,4.0,293.65,18.0,1.1521712058943264e-9,2.0036390650311495
3.0,5.0,292.65,18.0,5.669840738617414e-10,1.9403248844085923
3.0,6.0,293.65,18.0,1.1521721152763581e-9,2.003639065031153
3.0,7.0,292.65,18.0,5.669841664481151e-10,1.940324884408576
3.0,8.0,293.65,18.0,1.1521722116318994e-9,2.003639065031153
3.0,9.0,292.65,18.0,5.669847185130809e-10,1.9403248844084924
3.0,10.0,293.65,18.0,1.1521726247130818e-9,2.003639065031158
3.0,11.0,292.65,18.0,5.669836409896644e-10,1.940324884408523
3.0,12.0,293.65,18.0,1.1521718361787268e-9,2.0036390650311593
3.0,13.0,292.65,18.0,5.669845134026546e-10,1.9403248844086127
3.0,14.0,293.65,18.0,1.1521713090295211e-9,2.003639065031119
3.0,15.0,292.65,18.0,5.669835029968213e-10,1.940324884408504
3.0,16.0,293.65,18.0,1.1521734349711778e-9,2.003639065031118
3.0,17.0,292.65,18.0,5.669839923493728e-10,1.940324884408556
3.0,18.0,293.65,18.0,1.1521718715928963e-9,2.003639065031158
3.0,19.0,292.65,18.0,5.669845775452347e-10,1.9403248844085796
3.0,20.0,293.65,18.0,1.152172282569505e-9,2.003639065031153
4.0,1.0,292.65,22.0,0.001871383409379693,0.6229467618536354
4.0,2.0,293.65,22.0,5.499632772328807e-8,2.9254504409123347
