fw,step,temp,richness,stability,biomass
1.0,1.0,283.65,25.0,0.013124021842622437,3.3546905015217168
1.0,2.0,282.65,23.0,0.0004245001961616783,2.0429715978430867
1.0,3.0,283.65,23.0,0.00041435601950386093,2.0152815755613136
1.0,4.0,282.65,23.0,0.0004397284147495005,1.926691350432851
1.0,5.0,283.65,23.0,0.00041235426767084814,2.013842772520274
1.0,6.0,282.65,23.0,0.00043857800000382226,1.9266873685996593
1.0,7.0,283.65,23.0,0.00041229028061468665,2.0138421910584747
1.0,8.0,282.65,23.0,0.00043857124817358277,1.9266872866633231
1.0,9.0,283.65,23.0,0.0004122911896137607,2.0138421747565705
1.0,10.0,282.65,23.0,0.00043857149607469343,1.926687283661071
1.0,11.0,283.65,23.0,0.0004122914020500967,2.0138421742129866
1.0,12.0,282.65,23.0,0.00043857140869088345,1.9266872835700741
1.0,13.0,283.65,23.0,0.0004122913029268575,2.0138421741857404
1.0,14.0,282.65,23.0,0.0004385714989507446,1.9266872835622295
1.0,15.0,283.65,23.0,0.0004122911749333091,2.013842174177241
1.0,16.0,282.65,23.0,0.000438571193077934,1.9266872835563817
1.0,17.0,283.65,23.0,0.0004122912964984467,2.0138421741748256
1.0,18.0,282.65,23.0,0.00043857115103680916,1.9266872835659383
1.0,19.0,283.65,23.0,0.00041229130361099535,2.0138421741816552
1.0,20.0,282.65,23.0,0.00043857149824011183,1.9266872835623603
2.0,1.0,283.65,30.0,4.13339279688602e-5,1.6495181814841664
2.0,2.0,282.65,28.0,8.277786948688892e-7,5.322631214834637
2.0,3.0,283.65,28.0,5.683831188364771e-9,5.401842790431431
2.0,4.0,282.65,28.0,2.0207080799587074e-8,5.4584509390847815
2.0,5.0,283.65,28.0,1.8391564453332272e-8,5.403064580349689
2.0,6.0,282.65,28.0,2.0201620464654537e-8,5.4584509448336
2.0,7.0,283.65,28.0,1.8391634011446505e-8,5.403064580384163
2.0,8.0,282.65,27.0,2.020162936501748e-8,5.458451110486842
2.0,9.0,283.65,27.0,9.935711571667586e-9,5.046415158198977
2.0,10.0,282.65,27.0,1.919576158262992e-8,5.0567975722556415
2.0,11.0,283.65,27.0,2.4478123826231746e-8,5.041250962068145
2.0,12.0,282.65,27.0,1.920090907917135e-8,5.056797566156443
2.0,13.0,283.65,27.0,2.4478135556549952e-8,5.041250962044864
2.0,14.0,282.65,27.0,1.9200897302555812e-8,5.056797566156122
2.0,15.0,283.65,27.0,2.4478136272638458e-8,5.041250962044658
2.0,16.0,282.65,27.0,1.92009094650411e-8,5.056797566155632
2.0,17.0,283.65,27.0,2.4478135270732607e-8,5.041250962045284
2.0,18.0,282.65,27.0,1.9200912706642904e-8,5.056797566155351
2.0,19.0,283.65,27.0,2.4478135539130058e-8,5.041250962044804
2.0,20.0,282.65,27.0,1.920090362967258e-8,5.056797566156598
3.0,1.0,283.65,26.0,0.0001564511547555627,0.4591261256162116
3.0,2.0,282.65,21.0,0.0003633749315881256,1.9668351454710198
3.0,3.0,283.65,21.0,0.000378408258465334,1.7521711035546486
3.0,4.0,282.65,21.0,0.0003871036921820162,1.6778892002797707
3.0,5.0,283.65,21.0,0.0003791484588475734,1.7525518563846638
3.0,6.0,282.65,21.0,0.00038647119225316477,1.677885943416366
3.0,7.0,283.65,21.0,0.0003790364279769862,1.7525515307184407
3.0,8.0,282.65,21.0,0.00038648246375176545,1.6778859558928754
3.0,9.0,283.65,21.0,0.00037902823390919833,1.7525515360566155
3.0,10.0,282.65,21.0,0.0003864829979510344,1.6778859565539284
3.0,11.0,283.65,21.0,0.0003790279678970478,1.7525515363886108
3.0,12.0,282.65,21.0,0.0003864828642475027,1.6778859565674817
3.0,13.0,283.65,21.0,0.0003790280096399348,1.7525515363774444
3.0,14.0,282.65,21.0,0.00038648286940580424,1.6778859565773507
3.0,15.0,283.65,21.0,0.00037902792197026916,1.7525515363903632
3.0,16.0,282.65,21.0,0.000386482978456915,1.6778859565788324
3.0,17.0,283.65,21.0,0.00037902813255086417,1.7525515363891617
