TL
1.0
1.0
1.0
2.0
2.0
2.0
2.0
2.0
2.0
1.0
3.0
2.9999999999999996
1.0
3.0
2.0
2.75
1.0
1.0
3.333333333333333
2.9999999999999996
1.0
2.0
2.8
2.0
1.0
3.0
2.0
1.0
1.0
2.9999999999999996
3.111111111111112
2.6666666666666665
3.011904761904762
3.9474206349206353
3.5579365079365077
3.92989417989418
3.0
1.0
2.0
3.6975661375661377
1.0
2.0
2.0
3.057017543859649
3.0
4.697566137566138
1.0
3.839285714285714
1.0
4.608812830687831
