B,C,CoefficientofVariation,LoreauSync,ReumanSync
0.0,0.0,0.07417338063401364,0.05977564798521238,148.13605844092947
0.002777777777777778,0.0,0.1979294189522701,0.2509877543172447,22.465204652963774
0.005555555555555556,0.0,0.2944651063141825,0.6738430585755654,26.15791113764899
0.008333333333333333,0.0,0.33429937371551344,0.9481916396059881,6.572737923110525
0.011111111111111112,0.0,0.3384470839440978,0.9971089594491309,6.731132012048272
0.013888888888888888,0.0,0.349522753968077,0.996718730222852,9.934501342835462
0.016666666666666666,0.0,0.3397771257710041,0.9965151408641189,5.21824367758386
0.019444444444444445,0.0,0.3548410868877023,0.9982389291095739,5.4796160654372255
0.022222222222222223,0.0,0.3604531742753414,0.9993841562417167,7.190996728993754
0.025,0.0,0.35516515236568325,0.9997888788783268,16.34121813147382
0.0,0.016666666666666666,0.03540500001083938,0.03373380579304974,1051.2536499962205
0.002777777777777778,0.016666666666666666,0.1306203442578231,0.14363382675035968,329.82253523948685
0.005555555555555556,0.016666666666666666,0.2263769668668351,0.4077277361861121,39.599031903026216
0.008333333333333333,0.016666666666666666,0.30707871926310293,0.767806291583689,17.286784257321887
0.011111111111111112,0.016666666666666666,0.32320600912278125,0.9751740581791226,6.09482566385997
0.013888888888888888,0.016666666666666666,0.32710134927205026,0.9935653169964996,26.871271441345804
0.016666666666666666,0.016666666666666666,0.3373300706309775,0.9893791635204428,7.109698199032976
0.019444444444444445,0.016666666666666666,0.3409235870975273,0.9916431797886521,4.328941304388744
0.022222222222222223,0.016666666666666666,0.3400011501402851,0.9962944164385388,3.757720139207095
0.025,0.016666666666666666,0.33885864144812716,0.9987019713787119,5.165356731586847
0.0,0.03333333333333333,0.022527553724798758,0.02860897180337315,636.2673185231876
0.002777777777777778,0.03333333333333333,0.05654878346182253,0.04991621918772464,74.30836686964506
0.005555555555555556,0.03333333333333333,0.1530224696183211,0.2030930800817584,25.480562372047192
0.008333333333333333,0.03333333333333333,0.25085627757632234,0.4756127815711201,244.94985766541615
0.011111111111111112,0.03333333333333333,0.29364577714647444,0.8380785593696802,12.324009437804092
