fw,step,temp,richness,stability,biomass
1.0,1.0,303.65,16.0,2.8903270760897287e-7,0.38681144944342993
1.0,2.0,302.65,15.0,2.4549182011830137e-8,2.4846597980617133
1.0,3.0,303.65,15.0,2.955410655814467e-9,2.4268222816498546
1.0,4.0,302.65,15.0,1.0710752011237862e-9,2.4874846185555457
1.0,5.0,303.65,15.0,3.0382484475008094e-10,2.4268218898720897
1.0,6.0,302.65,15.0,2.0433789187041126e-10,2.4874844773676266
1.0,7.0,303.65,15.0,7.873454105872667e-11,2.4268218508709203
1.0,8.0,302.65,15.0,8.822803510794379e-11,2.4874844497464874
1.0,9.0,303.65,15.0,3.1067501666674436e-11,2.4268218385583267
1.0,10.0,302.65,15.0,4.838738879290615e-11,2.4874844384991075
1.0,11.0,303.65,15.0,1.1668624267197333e-11,2.4268218328844258
1.0,12.0,302.65,15.0,3.041235925037479e-11,2.4874844329471
1.0,13.0,303.65,15.0,2.4937744518936167e-12,2.426821829980961
1.0,14.0,302.65,15.0,2.1462786534715897e-11,2.4874844300090935
1.0,15.0,303.65,15.0,2.6017965906307822e-12,2.42682182842195
1.0,16.0,302.65,15.0,1.683010362391517e-11,2.4874844283835706
1.0,17.0,303.65,15.0,5.003666139070238e-12,2.4268218275533724
1.0,18.0,302.65,15.0,1.4398181286493532e-11,2.4874844274446053
1.0,19.0,303.65,15.0,6.2993720584440936e-12,2.426821827043623
1.0,20.0,302.65,15.0,1.3101592914222914e-11,2.4874844268658785
2.0,1.0,303.65,26.0,2.453409488613679e-10,2.8190992658112486
2.0,2.0,302.65,25.0,1.3061157341809668e-10,4.829478592006634
2.0,3.0,303.65,25.0,2.611651440209298e-10,4.603386567235879
2.0,4.0,302.65,25.0,1.980751988853653e-11,4.788149520608671
2.0,5.0,303.65,25.0,6.971921962589022e-10,4.603438967183736
2.0,6.0,302.65,25.0,1.9704967377122454e-11,4.788149519404615
2.0,7.0,303.65,25.0,6.971923779397326e-10,4.6034389671837825
2.0,8.0,302.65,25.0,1.970491441313565e-11,4.788149519404604
2.0,9.0,303.65,25.0,6.971923514535077e-10,4.60343896718377
2.0,10.0,302.65,25.0,1.9704892886717144e-11,4.788149519404608
2.0,11.0,303.65,25.0,6.971923419263275e-10,4.603438967183759
2.0,12.0,302.65,25.0,1.9704930585572035e-11,4.788149519405533
2.0,13.0,303.65,25.0,6.971914512586738e-10,4.6034389671825195
2.0,14.0,302.65,25.0,1.9704929596502114e-11,4.788149519404604
2.0,15.0,303.65,25.0,6.971924037980349e-10,4.60343896718374
2.0,16.0,302.65,25.0,1.970497717063811e-11,4.788149519404613
