Column1
"200×6 DataFrame
 Row │ fw    step  temp     richness  stability    biomass
     │ Any   Any   Any      Any       Any          Any
─────┼──────────────────────────────────────────────────────
  91 │ 5.0   11.0  308.834  15.0      5.18153e-9   1.71474
  92 │ 5.0   12.0  307.108  15.0      7.04239e-10  1.9373
  93 │ 5.0   13.0  307.188  15.0      4.20762e-10  1.92758
  94 │ 5.0   14.0  309.282  14.0      1.30947e-8   1.65539
  95 │ 5.0   15.0  302.9    14.0      4.56514e-9   2.19572
  96 │ 5.0   16.0  307.769  14.0      4.08566e-11  1.82878
  97 │ 5.0   17.0  314.055  7.0       5.29738e-16  1.07841
  98 │ 5.0   18.0  313.57   7.0       3.82592e-12  1.12249
  99 │ 5.0   19.0  312.641  7.0       3.52805e-12  1.21366
 100 │ 5.0   20.0  313.638  7.0       5.20251e-12  1.11618
 101 │ 6.0   1.0   297.075  18.0      1.84789e-7   0.631041
 102 │ 6.0   2.0   292.336  18.0      2.98314e-8   3.0497
 103 │ 6.0   3.0   293.441  18.0      1.06651e-8   3.02
 104 │ 6.0   4.0   296.557  17.0      4.71513e-9   2.95207
 105 │ 6.0   5.0   299.723  17.0      2.00231e-9   2.80859
 106 │ 6.0   6.0   300.603  17.0      6.90414e-10  2.79574
 107 │ 6.0   7.0   299.7    17.0      8.13176e-10  2.80874
 108 │ 6.0   8.0   297.952  17.0      4.31781e-10  2.82608
 109 │ 6.0   9.0   303.279  17.0      1.8677e-10   2.71933
 110 │ 6.0   10.0  303.772  17.0      1.12708e-10  2.69605
 111 │ 6.0   11.0  308.834  16.0      3.34369e-12  2.20413
 112 │ 6.0   12.0  307.108  16.0      1.66609e-11  2.42595
 113 │ 6.0   13.0  307.188  16.0      2.70356e-12  2.41717
 114 │ 6.0   14.0  309.282  16.0      3.18589e-11  2.13275
 115 │ 6.0   15.0  302.9    16.0      9.33286e-11  2.75041
 116 │ 6.0   16.0  307.769  16.0      3.39654e-12  2.34975
 117 │ 6.0   17.0  314.055  9.0       1.15786e-15  1.38658
 118 │ 6.0   18.0  313.57   9.0       3.82592e-12  1.4432
 119 │ 6.0   19.0  312.641  9.0       3.52805e-12  1.56042
 120 │ 6.0   20.0  313.638  9.0       5.20251e-12  1.43509
 121 │ 7.0   1.0   297.075  13.0      6.29342e-14  0.540632
 122 │ 7.0   2.0   292.336  13.0      6.71942e-8   1.91226
 123 │ 7.0   3.0   293.441  13.0      1.03328e-8   1.84482
 124 │ 7.0   4.0   296.557  13.0      2.95828e-9   1.69358
 125 │ 7.0   5.0   299.723  13.0      9.42269e-10  1.59529
 126 │ 7.0   6.0   300.603  13.0      4.20469e-10  1.57273
 127 │ 7.0   7.0   299.7    13.0      2.97809e-10  1.59574
 128 │ 7.0   8.0   297.952  13.0      1.42855e-9   1.64527
 129 │ 7.0   9.0   303.279  13.0      6.68259e-11  1.5028
 130 │ 7.0   10.0  303.772  13.0      2.64791e-11  1.48801
 131 │ 7.0   11.0  308.834  13.0      5.33011e-12  1.22516
 132 │ 7.0   12.0  307.108  13.0      8.87425e-12  1.34644
 133 │ 7.0   13.0  307.188  13.0      3.5358e-12   1.3417
 134 │ 7.0   14.0  309.282  13.0      2.71245e-11  1.18574
 135 │ 7.0   15.0  302.9    13.0      3.27425e-11  1.51388
 136 │ 7.0   16.0  307.769  13.0      5.04634e-12  1.30512
 137 │ 7.0   17.0  314.055  5.0       2.01909e-15  0.77033
 138 │ 7.0   18.0  313.57   5.0       3.82592e-12  0.801775
 139 │ 7.0   19.0  312.641  5.0       3.52805e-12  0.866901
 140 │ 7.0   20.0  313.638  5.0       5.20251e-12  0.797275
